STATUS,PCODE,ADM0_EN,ADM1_PT,ADM1_PCODE
#%% 2023/07/05 9AM
11,Brazil,Rondônia,BR11
12,Brazil,Acre,BR12
16,Brazil,Amapá,BR16
53,Brazil,Distrito Federal,BR53

#%% 2023/07/08/ 11PM
13,Brazil,Amazonas,BR13
14,Brazil,Roraima,BR14
21,Brazil,Maranhão,BR21
23,Brazil,Ceará,BR23

#%% 2023/07/10 9AM
29,Brazil,Bahia,BR29
31,Brazil,Minas Gerais,BR31
50,Brazil,Mato Grosso do Sul,BR50
51,Brazil,Mato Grosso,BR51

#%% 2023/07/10 9PM
15,Brazil,Pará,BR15
22,Brazil,Piauí,BR22
41,Brazil,Paraná,BR41
43,Brazil,Rio Grande do Sul,BR43

#%% 2023/07/11 6PM 
17,Brazil,Tocantins,BR17
25,Brazil,Paraíba,BR25
27,Brazil,Alagoas,BR27
32,Brazil,Espírito Santo,BR32\

#%% 
35,Brazil,São Paulo,BR35
42,Brazil,Santa Catarina,BR42

