,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1982-01-01,,,,0.82249653,,,1.7507646,1.4954844,1.2910026,2.4603455,2.1029823,,1.87722,2.3678577,,2.5498319,1.5184761,1.5657771,,,,1.3736544
1983-01-01,,,,0.83806133,,,1.9701414,1.740677,1.2956122,2.6675396,2.485634,,2.1174924,2.7424212,,2.9732847,1.7692004,1.4009918,,,,1.4029227
1984-01-01,,,,0.9064399,,,1.9277595,1.6623039,1.3710974,2.5995135,2.17073,,1.8657267,2.299412,,2.5327258,1.6866274,1.523909,,,,1.5338026
1985-01-01,,,,0.90245515,,,1.9706941,1.7989944,1.3506083,2.6147804,2.451525,,1.9993134,2.7180457,,2.8704817,1.7812606,1.4633881,,,,1.5060953
1986-01-01,,,,0.83220804,,,1.849073,1.5136291,1.2772987,2.3051496,1.9487913,,1.4210418,2.5317838,,2.4527304,1.5348996,1.4764599,,,,1.5039002
1987-01-01,,,,1.0377303,,,2.1778357,1.916183,1.4160511,2.979617,2.4514997,,1.9758631,2.7834828,,2.8737977,1.7695048,1.777092,,,,1.7297822
1988-01-01,,,,0.8589951,,,1.7491765,1.7005113,1.3778698,2.1871567,2.34496,,1.936499,2.2678537,,2.6665807,1.8039262,1.3728817,,,,1.3896025
1989-01-01,,,,1.1452045,,,2.305521,1.9204485,1.63681,3.0175152,2.524199,,2.15644,3.1708744,,3.1724598,1.9196643,1.8170719,,,,1.8060812
1990-01-01,,,,0.965901,,,1.9360353,1.7756183,1.4204481,2.3419158,2.2266462,,1.8778442,2.711764,,2.6492705,1.7577518,1.3619092,,,,1.4872546
1991-01-01,,,,0.85611546,,,1.7566006,1.5425508,1.134568,2.2940114,2.145243,,1.8043431,2.4502654,,2.6432981,1.4499644,1.3767315,,,,1.3299617
1992-01-01,,,,0.9976056,,,2.2662792,1.9951578,1.4199393,3.0331998,2.7698169,,2.2574651,3.3634408,,3.2554746,1.9418793,1.5125654,,,,1.6257833
1993-01-01,,,,1.1735643,,,2.4181912,2.057929,1.659987,3.084435,2.7048218,,2.3771274,3.5770934,,3.157134,1.9495118,1.784564,,,,1.7938211
1994-01-01,,,,1.0507407,,,2.4053843,2.1204708,1.5517701,3.1837726,2.9874957,,2.4556508,3.6239762,,3.4448836,2.1559608,1.5111787,,,,1.6342762
1995-01-01,,,,1.4001058,,,2.4238007,2.1944008,1.8851392,3.088423,2.7428885,,2.5740418,3.4526372,,3.225413,2.232807,1.950558,,,,1.9266665
1996-01-01,,,,1.5743332,,,2.76293,2.2418633,2.0298865,3.5867295,2.9378674,,2.2674057,3.733074,,3.4954698,2.2359948,2.3233745,,,,2.2628686
1997-01-01,,,,1.3394759,,,2.5876098,2.123095,1.8356721,3.606767,2.9885604,,2.6361907,3.2314095,,3.5903604,2.2117567,2.0070148,,,,1.9854816
1998-01-01,,,,1.572682,,,2.8808992,2.222203,2.1075432,3.7558587,2.9127865,,2.3486507,3.1483717,,3.3365595,2.3582063,2.442061,,,,2.2951407
1999-01-01,,,,1.5929974,,,2.6523247,2.2739935,2.0916789,3.4262497,2.9938493,,2.474908,3.3570197,,3.4130507,2.2384343,2.2225976,,,,2.212474
2000-01-01,,,,1.7847054,,,2.7666094,2.2279296,2.1103435,3.7048302,3.0192585,,2.4921455,3.2480226,,3.5751264,2.276899,2.4024284,,,,2.3927002
2001-01-01,,,,2.0727525,,,3.5449667,2.608735,2.5622244,4.5589304,3.3600802,,2.845635,4.4617395,,3.8231308,2.729143,2.9819431,,,,2.874429
2002-01-01,,,,1.8841648,,,2.965291,2.459536,2.217089,3.9431183,3.383073,,2.8311155,3.8394613,,4.0893154,2.3824344,2.4809728,,,,2.5685592
2003-01-01,,,,1.8253495,,,3.2761757,2.4799025,2.3570304,4.361555,3.505132,,3.126082,4.1185956,,4.270108,2.5223215,2.794468,,,,2.636383
2004-01-01,,,,1.4098294,,,2.351685,2.1896954,1.756892,3.236875,2.96013,,2.737111,3.2269187,,3.608586,2.09852,1.9736364,,,,1.9834088
2005-01-01,,,,1.5244124,,,2.7241619,2.0830123,1.9761178,3.4532325,2.8246748,,2.297662,3.650703,,3.5058172,2.1654224,2.198754,,,,2.288482
2006-01-01,,,,1.3284523,,,2.5594087,2.2097025,1.8869355,3.0956197,2.9950235,,2.585276,3.414448,,3.6858623,2.1929224,2.1397712,,,,2.1381457
2007-01-01,,,,2.14049,,,3.2726548,2.437547,2.341105,4.476405,3.3948596,,3.0680714,4.157817,,4.1116214,2.4108362,3.0600839,,,,2.7682273
2008-01-01,,,,1.7923706,,,2.8772917,2.5749354,2.3125262,3.536518,3.511471,,3.1334229,3.3731308,,4.0788918,2.5549397,2.5054862,,,,2.522884
2009-01-01,,,,1.7744815,,,2.8404598,2.6032043,2.2610524,3.4633522,3.2667477,,2.877264,3.625669,,3.9175208,2.4690888,2.6761749,,,,2.5850754
2010-01-01,,,,2.0805275,,,3.245578,2.8617861,2.711565,4.223334,3.5233216,,3.2748213,3.6676195,,4.1980615,2.7071152,3.391769,,,,3.047933
2011-01-01,,,,3.6412969,,,3.1047926,2.860917,2.6926959,5.014725,3.6414032,,3.4424279,3.8205466,,4.0085797,2.7990108,3.031229,,,,2.9754946
2012-01-01,,,,3.0456243,,,2.8631132,2.6483355,2.2929301,4.5025434,3.4638486,,2.770128,3.460854,,4.0107555,2.659814,3.0964348,,,,2.6241927
2013-01-01,,,,2.9430354,,,3.0269256,2.7592828,2.4184468,4.7626076,3.497352,,3.2403107,3.5191956,,4.007879,2.605158,3.1741269,,,,2.7544053
2014-01-01,,,,3.23404,,,2.8531656,2.586855,2.4012191,4.506644,3.523881,,2.998328,3.2309186,,3.9679403,2.721314,2.9955125,,,,2.656166
2015-01-01,,,,,,,3.5105512,2.8976285,2.880475,,3.332121,,3.270479,,,4.102594,3.125122,,,,,3.1611767
